Trait,Exemplary (100%),Proficient (93%),Developing (86%),Limited (79%)
Self-Awareness,High level of awareness of how their comments and actions are perceived. This is a key strength for this person.,Moderate level of awareness of how their comments and actions are perceived. They do this frequently but at times of high stress and pressure may lose this awareness for periods of time.,Low level of awareness of how their comments and actions are perceived. At times demonstrates awareness but more than half of their interactions lack self-awareness.,Do not typically understand how their comments and actions are perceived by others.
Self-Regulation,High level of control of their comments and actions. They demonstrate great flexibility in regulating their comments and actions based on the situation.,"Moderate level of control of their comments and actions. They frequently have control, but at times of high stress and pressure may lose control of their comments and actions.","At times can control their comments and actions appropriately given the situation, but often struggle in this area.",Do not typically have control of their comments and actions.
Skill,"Excellent ability to quickly and effectively adapt to new information, properly balance competition and collaboration and strategically give/take information as needed throughout the negotiation process.","Strong ability to quickly and effectively adapt to new information, properly balance competition and collaboration and strategically give/take information as needed throughout the negotiation process.","Satisfactory ability to adequately adapt to new information, properly balance competition and collaboration and strategically give/take information as needed throughout the negotiation process.","Limited ability to adequately adapt to new information, properly balance competition and collaboration and strategically give/take information as needed throughout the negotiation process."
Sources,Uses a wide variety of reliable sources reflecting multiple viewpoints. Bibliography and citations complete with few errors.,Uses many reliable sources and information is consistently applied. Explores some opposing viewpoints. Bibliography and citations complete with few errors.,"Uses appropriate amount of reliable sources, although information from sources is used inconsistently at times. Bibliography and citations missing some information.",Sources used are unreliable or minimum amount of reliable sources used. Bibliography and citations missing significant information.
Stakeholder Perspectives,Demonstrates ability to identify all relevant stakeholders; to identify and reflect on their perspectives and interests as they relate to a particular business issue; and to map fully the interactions between stakeholders.,Demonstrates ability to identify most relevant stakeholders; to identify and reflect on their perspectives and interests as they relate to a particular business issue; and to begin to map the interactions between stakeholders.,Demonstrates ability to identify some relevant stakeholders. Displays some ability to identify relevant stakeholders and their perspectives and interests as they relate to a particular business issue.,Demonstrates limited or no ability to identify relevant stakeholders and their perspectives and interests as they relate to a particular business issue.
Strategic Alternatives,"Excellent ability to comprehensively identify and describe all of your own, the other party’s possible alternatives throughout the negotiation process.","Strong ability to identify and describe most of your own, the other party’s possible alternatives throughout the negotiation process.","Satisfactory ability to identify and describe some of your own, the other party’s possible alternatives throughout the negotiation process.","Limited ability to identify and describe your own, the other party’s possible alternatives throughout the negotiation process."
Strategic Recommendations,"Presents well-reasoned, and insightful recommendations/ decisions supported by comprehensive and reliable evidence and/or data. Little or no omission evidence.","Presents complete, clear, and realistic recommendations/ decisions supported by mostly complete and reliable evidence and/or data. Omission of some evidence does not impact overall credibility.","Presents some complete, clear, and realistic recommendations/ decisions supported by some complete and reliable evidence and/or data. Omissions of evidence may impact credibility.","Presents incomplete, unclear, or unrealistic recommendations/ decisions supported by incomplete or unreliable evidence and/or data."
Strategic Recommendations & Decisions,"Presents well-reasoned, and insightful recommendations/ decisions supported by comprehensive and reliable evidence and/or data. Little or no omission evidence.","Presents complete, clear, and realistic recommendations/ decisions supported by mostly complete and reliable evidence and/or data. Omission of some evidence does not impact overall credibility.","Presents some complete, clear, and realistic recommendations/ decisions supported by some complete and reliable evidence and/or data. Omissions of evidence may impact credibility.","Presents incomplete, unclear, or unrealistic recommendations/ decisions supported by incomplete or unreliable evidence and/or data."
Style/Appropriateness,"Consistently uses and appropriate professional style and tone to influence attitudes, beliefs and create a sense of urgency. Strong ability in analyzing and effectively addressing the needs of the assignment and intended audience.","Mostly uses an appropriate, professional style and tone to influence attitudes, beliefs and create a sense of urgency. Good ability in analyzing and appropriately addressing the needs of the assignment and intended audience.","Somewhat uses an appropriate, professional style and tone to influence attitudes, beliefs, and create a sense of urgency. Ability to somewhat analyze and address the needs of the assignment and intended audience.","Does not use an appropriate, professional style and tone to influence attitudes, beliefs and create sense of urgency. Inability to analyze and address the needs of the assignment and intended audience."
Supporting Evidence,"Evidence presented to support argument/recommendation is strong and credible, exhibiting depth of idea. Counter evidence is addressed and sufficiently refuted.",Evidence is sufficient to support argument/recommendation. Counter evidence is addressed but not sufficiently refuted.,Evidence is somewhat sufficient to support argument/recommendation. Ignores some of the counter evidence to argument.,Evidence is insufficient or misinterpreted in support of argument/recommendation. Ignores any counter evidence to argument.
Supporting Information,"Gathers and relies upon correct, sufficient and credible information/evidence. Displays strong ability to analyze, categorize, and classify information, as well as synthesize and integrate that information in support of claims/recommendations.","Gathers and relies upon correct, sufficient and reliable information/evidence. Displays good ability to analyze, categorize and classify information in support of claims/recommendations.",Gathers and relies upon some correct and reliable information/evidence that is moderately sufficient. Displays some ability to analyze information and classify it appropriately in support of claims/recommendations.,"Gathers and relies upon incorrect, insufficient or unreliable information/evidence. Displays limited ability to analyze, categorize and classify information in support of claims/recommendations."
Tasks,Have identified all of the tasks needed to complete the final project. The tasks are equally distributed among the team members and most tasks are already completed.,"Have identified most of the tasks needed to complete the final project. Each of the tasks is equally distributed among the team members and some tasks are already completed, with others started.",Have identified some of the tasks needed to complete the final project with some allocation of tasks among the team members. Work has begun on completing the tasks.,Have yet to identify the tasks needed to complete the final project.
Time Consciousness,Displayed excellent awareness of time during presentation. Presentation was delivered precisely in the time allotted.,Displayed proper awareness of time during presentation. Presentation ran only slightly under or over the time allotted.,Displayed adequate awareness of time during presentation. Presentation ran moderately under or over the time allotted.,Displayed limited awareness of time during presentation. Presentation ran either significantly under or over the time allotted.
Timeline,"Have a clearly defined, comprehensive timeline for project completion including consistent formal team check-ins/meetings and deadlines for project components with time left over for unplanned issues.",Have a clearly defined timeline for project completion including consistent formal team check-ins/meetings and deadlines for project components.,Have a somewhat defined timeline for project completion including some informal team check-ins/meetings and deadlines for project components.,Have yet to define a timeline for project completion including team check-ins/meetings.
Understanding,Makes a strong connection to how their comments and actions impact others and themselves. Identifies this as extremely important and continuously work at understanding this connection in individual and team relationships.,Moderate level of connecting how their comments and actions impact others and themselves. Often focused on this connection but at times lose focus especially in complex and dynamic situations.,"At times can connect how their comments and actions impact others and themselves, but often struggle in this area.",Do not make the connection to how their comments and actions impact others and themselves.
Visual Appeal,Document formatting and supporting visuals display high levels of creativity and strongly enhance the effectiveness of the presentation and its clarity/cohesiveness.,Document formatting and supporting visuals display creativity and appropriately enhance the effectiveness of the presentation and its clarity/cohesiveness.,Document formatting and supporting visuals somewhat enhance the effectiveness of the presentation and slightly limit clarity/cohesiveness.,Document formatting and supporting visuals do little to enhance the effectiveness of the document and limit clarity/cohesiveness.
Visual Tools,"Visual aids display high levels of creativity, clarity and cohesiveness. Strongly enhances the effectiveness of the presentation","Visual aids display good creativity, clarity and cohesiveness. Generally enhances the effectiveness of the presentation.","Visual aids display some creativity, clarity and cohesiveness. Somewhat enhances the effectiveness of the presentation.","Visual aids display limited creativity, clarity and cohesiveness. Does little to enhance the effectiveness of the presentation."
Visualization,"Visualization formats chosen to present analysis are of high quality, comprehensive and easily understood, making information accessible to most audiences.",Visualization formats chosen to present analysis are easily understood and make information accessible to several different audiences.,Visualization formats chosen to present analysis are somewhat understandable and make information accessible to a few different audiences.,Visualization formats chosen to present analysis are not easily understood and do not make information accessible to a variety of audiences.
Visuals & Graphics,"Visual and graphic formats chosen to present analysis are of high quality, comprehensive and easily understood, making information accessible to most audiences.",Visual and graphic formats chosen to present analysis are easily understood and make information accessible to several different audiences.,Visual and graphic formats chosen to present analysis are somewhat understandable and make information accessible to a few different audiences.,Visual and graphic formats chosen to present analysis are not easily understood and do not make information accessible to a variety of audiences.
